CLIENTE,MODELO,NUM_PLAZAS,MECANISMO_MODULO,IMPORTE_LINEA,CATEGORIA,TIPO_TAPICERIA,COSTE_TAPIZADO_AGRUP,P_COSTE,MARGEN_UDS_LINEA,DTO_FAMILIA,I_COMISION,I_BRUTO,DTO_PP,DTO_LINEAS,MARGEN_BRUTO,PROVINCIA,COD_COMUNIDAD,HIPOTECA,INDENCIAS_CLIENTE,PIB_VALOR_EUROS,PARO_2020T3,status_cliente
386,0,300,0,592.02,0,T,90.13,154.01,347.88,8.0,67.73,1472.46,0.0,117.8,1354.66,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
386,0,100,1,470.58,0,T,90.13,127.43,253.02,8.0,67.73,1472.46,0.0,117.8,1354.66,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
386,0,100,0,409.86,0,T,90.13,110.43,209.3,8.0,67.73,1472.46,0.0,117.8,1354.66,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
4951,1,100,2,266.34,0,T,43.19,53.02,170.13,16.0,0.0,1305.48,21.93,208.86,1074.7,7,4.0,0.4149,53.0,27134.0,11.18,10.505732932185856
4951,1,100,2,422.28,0,T,86.39,36.05,263.79,16.0,0.0,1305.48,21.93,208.86,1074.7,7,4.0,0.4149,53.0,27134.0,11.18,10.505732932185856
4951,1,75,3,350.52,0,T,43.19,95.98,211.35,16.0,0.0,1305.48,21.93,208.86,1074.7,7,4.0,0.4149,53.0,27134.0,11.18,10.505732932185856
6041,2,300,0,552.0,1,T,63.2,195.8,293.0,8.0,44.54,988.08,18.18,79.05,890.85,10,11.0,0.2156,28.0,19077.0,18.78,12.971907763164166
6041,2,200,4,436.08,1,T,63.2,157.7,215.18,8.0,44.54,988.08,18.18,79.05,890.85,10,11.0,0.2156,28.0,19077.0,18.78,12.971907763164166
6305,3,75,3,400.2,0,T,75.3,112.25,212.65,5.0,51.06,1075.02,0.0,53.75,1021.27,4,1.0,0.2673,7.0,20465.0,21.75,22.42475693992706
6305,3,100,2,274.62,0,T,75.3,85.49,113.83,5.0,51.06,1075.02,0.0,53.75,1021.27,4,1.0,0.2673,7.0,20465.0,21.75,22.42475693992706
6464,4,100,1,376.74,2,T,38.32,117.91,220.51,8.0,47.28,1048.8,19.3,83.91,945.6,46,10.0,0.2444,67.0,22882.0,15.67,9.443315295819264
6464,4,100,1,295.32,2,T,38.32,95.14,161.86,8.0,47.28,1048.8,19.3,83.91,945.6,46,10.0,0.2444,67.0,22882.0,15.67,9.443315295819264
6790,5,100,1,442.98,2,T,29.65,164.22,249.12,5.0,66.94,1437.96,27.32,71.9,1338.73,9,7.0,0.2449,45.0,27994.0,10.98,15.210050627409602
6790,5,200,0,552.0,2,T,29.65,202.83,319.53,5.0,66.94,1437.96,27.32,71.9,1338.73,9,7.0,0.2449,45.0,27994.0,10.98,15.210050627409602
7254,6,300,0,476.1,2,T,30.71,190.21,255.18,5.0,23.81,495.42,0.0,0.0,495.42,30,14.0,0.2194,33.0,20766.0,15.06,13.800304126646186
8031,7,200,4,290.0,0,T,52.1,112.94,124.96,2.5,0.0,856.0,0.0,21.4,834.6,28,13.0,0.3404,18.0,34041.0,11.89,21.616192498983533
8031,7,100,1,256.0,0,T,52.1,78.0,125.9,2.5,0.0,856.0,0.0,21.4,834.6,28,13.0,0.3404,18.0,34041.0,11.89,21.616192498983533
8031,7,100,1,310.0,0,T,52.1,97.86,160.04,2.5,0.0,856.0,0.0,21.4,834.6,28,13.0,0.3404,18.0,34041.0,11.89,21.616192498983533
8077,5,100,2,362.94,2,T,25.81,125.32,211.81,5.0,58.14,1248.9,23.73,62.45,1162.71,30,14.0,0.2194,38.0,20766.0,15.06,12.860380817805897
8077,5,100,1,442.98,2,T,25.81,164.22,252.95,5.0,58.14,1248.9,23.73,62.45,1162.71,30,14.0,0.2194,38.0,20766.0,15.06,12.860380817805897
8758,5,300,0,663.78,1,T,36.31,245.46,382.02,5.0,31.53,663.78,0.0,33.19,630.59,34,7.0,0.2449,25.0,25508.0,10.98,19.47926819963315
47,0,300,0,625.14,3,T,68.42,154.01,402.71,5.0,48.54,1021.2,19.81,30.63,970.76,3,10.0,0.2444,7.0,19066.0,15.67,26.66832108203077
47,0,100,0,396.06,3,T,68.42,100.03,227.61,5.0,48.54,1021.2,19.81,30.63,970.76,3,10.0,0.2444,7.0,19066.0,15.67,26.66832108203077
386,8,200,0,451.26,2,T,27.06,145.28,278.92,8.0,38.28,832.14,0.0,66.57,765.57,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
386,8,200,4,380.88,2,T,27.06,128.51,225.31,8.0,38.28,832.14,0.0,66.57,765.57,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
386,4,100,1,389.16,2,T,17.87,122.93,248.36,8.0,61.61,1339.3,0.0,107.14,1232.16,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
386,4,100,1,304.98,2,T,17.87,100.16,186.95,8.0,61.61,1339.3,0.0,107.14,1232.16,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
386,4,75,3,361.56,2,T,17.87,133.76,209.93,8.0,61.61,1339.3,0.0,107.14,1232.16,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
386,4,100,2,283.6,2,T,17.87,81.2,184.53,8.0,61.61,1339.3,0.0,107.14,1232.16,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
386,0,100,1,470.58,0,T,62.06,127.43,281.1,8.0,59.67,1297.2,0.0,103.78,1193.42,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
386,0,100,1,373.98,0,T,62.06,107.99,203.94,8.0,59.67,1297.2,0.0,103.78,1193.42,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
386,0,200,4,452.64,0,T,62.06,113.59,277.0,8.0,59.67,1297.2,0.0,103.78,1193.42,8,9.0,0.324,89.0,29885.0,11.4,9.53469260232771
813,5,300,0,619.62,0,T,85.0,218.37,316.26,9.0,69.53,1091.58,0.0,98.25,993.33,26,17.0,0.2336,29.0,26528.0,9.96,19.82837697414856
813,5,200,4,471.96,0,T,85.0,157.32,229.65,9.0,69.53,1091.58,0.0,98.25,993.33,26,17.0,0.2336,29.0,26528.0,9.96,19.82837697414856
936,9,100,1,418.14,0,T,50.88,112.55,254.71,8.0,40.98,1515.24,27.88,121.22,1366.15,28,13.0,0.3404,61.0,34041.0,11.89,11.742228686965005
936,9,100,1,333.96,0,T,50.88,96.3,186.78,8.0,40.98,1515.24,27.88,121.22,1366.15,28,13.0,0.3404,61.0,34041.0,11.89,11.742228686965005
936,9,75,3,420.9,0,T,50.88,122.92,247.1,8.0,40.98,1515.24,27.88,121.22,1366.15,28,13.0,0.3404,61.0,34041.0,11.89,11.742228686965005
936,9,100,2,342.24,0,T,50.88,79.85,211.51,8.0,40.98,1515.24,27.88,121.22,1366.15,28,13.0,0.3404,61.0,34041.0,11.89,11.742228686965005
1114,10,100,2,258.06,2,T,29.65,73.18,155.24,5.0,76.45,1173.0,22.29,58.64,1092.08,31,15.0,0.2381,38.0,30508.0,8.55,19.858768607599895
1114,10,100,1,328.44,2,T,29.65,89.58,209.22,5.0,76.45,1173.0,22.29,58.64,1092.08,31,15.0,0.2381,38.0,30508.0,8.55,19.858768607599895
1116,5,300,0,592.02,2,T,29.76,223.11,339.15,9.0,26.94,592.02,0.0,53.28,538.74,3,10.0,0.2444,20.0,19066.0,15.67,15.77719152026115
1118,11,100,1,405.72,0,T,55.85,96.99,252.88,9.0,68.74,1079.16,0.0,97.11,982.05,31,15.0,0.2381,44.0,30508.0,8.55,18.45515833482201
1118,11,100,0,267.72,0,T,55.85,74.01,137.86,9.0,68.74,1079.16,0.0,97.11,982.05,31,15.0,0.2381,44.0,30508.0,8.55,18.45515833482201
2318,12,300,1,538.2,2,T,32.83,175.75,329.62,5.0,49.23,1036.38,0.0,51.82,984.56,10,11.0,0.2156,6.0,19077.0,18.78,28.02252352557696
2318,12,200,1,498.18,2,T,32.83,152.66,312.69,5.0,49.23,1036.38,0.0,51.82,984.56,10,11.0,0.2156,6.0,19077.0,18.78,28.02252352557696
4498,10,100,1,539.58,4,P,139.86,98.72,301.0,8.0,43.11,1593.9,29.33,127.52,1437.05,30,14.0,0.2194,47.0,20766.0,15.06,11.563696863047731
4498,10,100,1,431.94,4,P,139.86,77.32,214.76,8.0,43.11,1593.9,29.33,127.52,1437.05,30,14.0,0.2194,47.0,20766.0,15.06,11.563696863047731
4498,10,200,4,622.38,4,P,139.86,126.81,355.71,8.0,43.11,1593.9,29.33,127.52,1437.05,30,14.0,0.2194,47.0,20766.0,15.06,11.563696863047731
4498,0,100,1,572.7,4,P,117.94,127.43,327.34,8.0,60.84,2249.4,41.39,179.96,2028.04,30,14.0,0.2194,47.0,20766.0,15.06,11.563696863047731
