CLIENTE,MODELO,NUM_PLAZAS,MECANISMO_MODULO,IMPORTE_LINEA,CATEGORIA,TIPO_TAPICERIA,COSTE_TAPIZADO_AGRUP,P_COSTE,MARGEN_UDS_LINEA,DTO_FAMILIA,I_COMISION,I_BRUTO,DTO_PP,DTO_LINEAS,MARGEN_BRUTO,PROVINCIA,COD_COMUNIDAD,HIPOTECA,INDENCIAS_CLIENTE,PIB_VALOR_EUROS,PARO_2020T3,status_cliente
4775,44,100,1,358.4,0,T,41.03,111.93,205.45,7.0,80.92,1268.4,23.59,88.79,1156.02,20,16.0,0.261,105.0,32015.0,8.47,11.744110928749173
4775,10,300,2,411.6,0,T,72.94,93.69,244.97,7.0,51.0,799.4,14.87,55.96,728.57,20,16.0,0.261,105.0,32015.0,8.47,11.744110928749173
4775,10,100,1,387.8,0,T,72.94,78.22,236.64,7.0,51.0,799.4,14.87,55.96,728.57,20,16.0,0.261,105.0,32015.0,8.47,11.744110928749173
5860,26,200,0,469.0,2,T,18.19,182.99,267.82,5.0,23.45,469.0,0.0,0.0,469.0,11,1.0,0.2673,31.0,17231.0,21.75,9.777893086209703
5878,38,100,2,379.4,0,T,44.02,125.47,209.91,6.0,64.74,1405.6,26.43,84.34,1294.84,37,7.0,0.2449,16.0,20654.0,10.98,21.910209610899212
5878,38,200,3,460.6,0,T,44.02,170.44,246.14,6.0,64.74,1405.6,26.43,84.34,1294.84,37,7.0,0.2449,16.0,20654.0,10.98,21.910209610899212
5878,38,200,0,565.6,0,T,44.02,211.92,309.66,6.0,64.74,1405.6,26.43,84.34,1294.84,37,7.0,0.2449,16.0,20654.0,10.98,21.910209610899212
6307,23,300,0,585.2,0,T,50.9,199.4,334.9,8.0,15.83,585.2,10.77,46.82,527.61,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,0,100,1,483.0,0,T,69.93,127.43,285.64,8.0,37.45,1384.6,25.48,110.77,1248.35,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,0,100,0,294.0,0,T,69.93,92.6,131.47,8.0,37.45,1384.6,25.48,110.77,1248.35,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
6307,0,75,3,607.6,0,T,69.93,194.01,343.66,8.0,37.45,1384.6,25.48,110.77,1248.35,28,13.0,0.3404,385.0,34041.0,11.89,4.67396102956152
7413,3,100,2,358.4,0,T,57.12,112.76,188.52,5.0,66.42,1019.2,19.36,50.96,948.87,31,15.0,0.2381,22.0,30508.0,8.55,26.099535212848153
7413,3,100,2,302.4,0,T,57.12,92.96,152.32,5.0,66.42,1019.2,19.36,50.96,948.87,31,15.0,0.2381,22.0,30508.0,8.55,26.099535212848153
7761,27,100,1,373.8,2,T,33.34,113.5,226.96,8.0,45.13,1218.0,225.63,89.83,902.53,30,14.0,0.2194,143.0,20766.0,15.06,6.629451665245737
7761,27,200,2,470.4,2,T,33.34,139.47,297.59,8.0,45.13,1218.0,225.63,89.83,902.53,30,14.0,0.2194,143.0,20766.0,15.06,6.629451665245737
9024,6,100,1,299.6,2,T,12.6,108.3,178.7,5.0,29.96,599.2,0.0,0.0,599.2,4,1.0,0.2673,17.0,20465.0,21.75,14.389718688137862
9291,0,200,4,532.0,4,P,70.18,113.59,348.23,6.0,244.0,5174.4,0.0,294.36,4880.04,6,11.0,0.2156,3.0,17637.0,18.78,38.10478871471042
9291,0,300,0,749.0,4,P,70.18,154.01,524.81,6.0,244.0,5174.4,0.0,294.36,4880.04,6,11.0,0.2156,3.0,17637.0,18.78,38.10478871471042
